timestamp,open,high,low,close,volume
1551398400000,1314.155,1315.138,1290.098,1293.055,41.0271
1551571200000,1292.705,1296.135,1292.705,1295.158,0.346
1551657600000,1295.158,1296.995,1282.758,1287.025,31.1495
1551744000000,1287.025,1289.535,1281.128,1287.875,40.0071
1551830400000,1287.935,1290.885,1283.545,1287.095,32.9629
1551916800000,1287.095,1288.975,1280.485,1285.918,38.4768
1552003200000,1285.908,1300.708,1285.128,1298.055,39.0193
1552176000000,1297.765,1297.955,1296.115,1296.535,0.1677
1552262400000,1297.215,1299.045,1290.395,1292.525,27.3601
1552348800000,1292.525,1302.148,1292.395,1301.888,33.9752
1552435200000,1301.888,1311.168,1301.655,1309.338,28.8587
1552521600000,1309.345,1309.735,1292.775,1296.065,33.6576
1552608000000,1296.065,1306.328,1293.928,1301.875,31.5955
1552780800000,1301.855,1302.485,1300.535,1300.555,0.4931
1552867200000,1300.555,1306.668,1298.155,1303.418,22.4105
1552953600000,1303.408,1310.835,1303.365,1306.158,22.235
1553040000000,1306.158,1316.938,1298.605,1315.365,38.784
1553126400000,1315.365,1320.305,1303.205,1308.605,34.3332
1553212800000,1308.605,1314.898,1306.778,1313.075,37.6496
1553385600000,1313.105,1313.935,1311.525,1311.525,0.7597
1553472000000,1311.538,1324.448,1310.958,1321.258,30.705
1553558400000,1321.258,1322.118,1312.625,1316.358,36.7358
1553644800000,1316.348,1319.258,1308.065,1309.335,39.5071
1553731200000,1309.335,1312.245,1288.455,1291.495,36.4489
1553817600000,1291.495,1299.745,1286.668,1291.885,32.9406
1553990400000,1292.025,1293.198,1291.418,1291.708,0.4852
1554076800000,1291.718,1296.955,1286.425,1287.328,27.3488
1554163200000,1287.315,1292.788,1285.145,1291.705,23.4032
1554249600000,1291.698,1294.488,1288.335,1291.755,26.9518
1554336000000,1291.755,1294.338,1280.848,1292.095,19.5951
1554422400000,1292.095,1293.148,1284.325,1291.185,33.3283
1554595200000,1291.305,1293.628,1291.205,1291.675,0.8003
1554681600000,1291.728,1303.648,1291.575,1297.945,18.4136
1554768000000,1297.945,1306.138,1296.535,1304.585,27.2792
1554854400000,1304.585,1310.518,1300.858,1308.018,32.2374
1554940800000,1308.018,1308.325,1289.548,1292.135,29.4352
1555027200000,1292.135,1295.708,1290,1290.177,25.9548
1555200000000,1291.075,1291.858,1289.245,1289.705,0.8783
1555286400000,1289.665,1290.338,1282.448,1288.325,24.8599
1555372800000,1288.325,1288.325,1272.905,1276.565,33.6948
1555459200000,1276.495,1279.688,1272.898,1274.155,31.4459
1555545600000,1274.155,1277.628,1271.105,1275.475,33.8103
1555804800000,1275.598,1277.125,1274.935,1276.705,1.3697
1555891200000,1276.728,1279.765,1273.725,1274.598,18.2559
1555977600000,1274.598,1276.428,1266.198,1271.355,25.1805
1556064000000,1271.365,1278.468,1268.698,1274.635,29.9633
1556150400000,1274.628,1282.528,1273.308,1278.558,31.2283
1556236800000,1278.558,1288.608,1273.725,1285.695,32.0972
1556409600000,1286.275,1286.618,1285.628,1285.795,0.6603
1556496000000,1285.785,1286.568,1277.988,1280.325,25.7238
1556582400000,1280.318,1286.118,1279.835,1283.105,31.2006
1556668800000,1283.105,1287.188,1273,1277.018,31.4384
1556755200000,1277.018,1277.368,1266.195,1270.678,32.9867
1556841600000,1270.688,1282.468,1268.268,1278.775,34.4465
1557014400000,1280.305,1285.728,1279.775,1284.148,5.1158
1557100800000,1284.158,1285.118,1276.935,1282.825,39.8251
1557187200000,1282.825,1286.015,1278.155,1284.778,39.8028
1557273600000,1284.778,1291.415,1279.275,1281.275,33.3147
1557360000000,1281.255,1288.138,1279.528,1283.698,55.1628
1557446400000,1283.685,1289.338,1283.068,1285.505,47.9376
1557619200000,1287.485,1287.978,1286.455,1287.125,1.3567
1557705600000,1287.128,1301.685,1281.935,1301.685,45.7292
1557792000000,1301.685,1303.245,1293.665,1296.998,32.1944
1557878400000,1296.998,1300.848,1292.948,1296.448,53.7182
1557964800000,1296.435,1298.688,1284.035,1285.758,26.5546
1558051200000,1285.758,1288.868,1274.748,1277.485,29.3873
1558224000000,1277.535,1278.808,1276.915,1277.655,1.3714
1558310400000,1277.655,1278.948,1273.608,1277.358,23.8993
1558396800000,1277.295,1277.328,1269.455,1274.578,24.2702
1558483200000,1274.625,1277.268,1272.415,1274.165,23.0193
1558569600000,1274.145,1287.218,1272.755,1284.075,38.723
1558656000000,1284.055,1285.168,1280.695,1284.615,33.678
1558828800000,1284.655,1285.685,1284.118,1284.665,1.2137
1558915200000,1284.655,1287.318,1283.705,1285.685,17.3257
1559001600000,1285.685,1286.548,1276.055,1279.878,41.2389
1559088000000,1279.795,1285.465,1279.015,1279.805,44.8464
1559174400000,1279.805,1290.628,1274.948,1290.448,29.8275
1559260800000,1290.448,1306.878,1290.328,1305.295,52.5064
1559433600000,1306.918,1309.388,1305.835,1309.365,2.1137
1559520000000,1309.365,1327.898,1308.428,1325.108,48.234
1559606400000,1325.075,1329.005,1319.905,1325.285,48.2266
1559692800000,1325.295,1344.048,1325.265,1330.845,61.872
1559779200000,1330.845,1339.748,1327.158,1333.388,52.546
1559865600000,1333.388,1348.198,1330.205,1340.388,48.0906
1560038400000,1336.848,1336.848,1333.265,1334.985,1.9973
1560124800000,1334.985,1337.658,1325.028,1329.218,38.086
1560211200000,1329.228,1329.808,1319.815,1327.695,37.008
1560297600000,1327.695,1338.348,1325.938,1333.518,38.835
1560384000000,1333.518,1344.518,1332.325,1344.418,38.1093
1560470400000,1344.418,1358.088,1337.738,1340.888,58.2838
1560643200000,1341.785,1342.348,1338.498,1338.508,1.3041
1560729600000,1338.508,1343.505,1332.915,1339.635,36.6264
1560816000000,1339.625,1354.605,1338.545,1345.395,55.2314
1560902400000,1345.388,1362.528,1341.195,1357.878,58.7539
1560988800000,1357.878,1393.928,1357.878,1390.748,80.7654
1561075200000,1390.748,1411.805,1382.5,1399.158,77.0393
1561248000000,1400.075,1410.128,1399.648,1406.808,3.9055
1561334400000,1406.868,1426.027,1400.728,1425.195,58.5808
1561420800000,1425.215,1439.138,1411.808,1418.348,76.5854
1561507200000,1418.348,1420.488,1401.865,1410.648,58.2721
1561593600000,1410.648,1412.048,1398.548,1411.045,57.0554
1561680000000,1410.975,1424.568,1405.618,1409.485,47.4674
1561852800000,1397.165,1397.698,1384,1391.988,5.4095
1561939200000,1391.965,1397.048,1381.715,1385.445,54.7404
1562025600000,1385.438,1435.998,1383.785,1431.225,64.9355
1562112000000,1431.245,1437.688,1411.975,1418.358,55.8347
1562198400000,1418.355,1424.128,1410.128,1420.858,25.8614
1562284800000,1420.848,1421.268,1386.518,1398.525,56.9112
1562457600000,1398.975,1401.465,1392.638,1395.615,3.2999
1562544000000,1395.615,1407.508,1391.645,1394.235,35.4477
1562630400000,1394.238,1400.025,1385.658,1395.205,35.5536
1562716800000,1395.235,1422.435,1389.838,1421.945,51.9887
1562803200000,1421.945,1427.078,1400.738,1403.898,50.1
1562889600000,1403.968,1416.818,1403.048,1415.145,47.6184
1563062400000,1415.408,1419.698,1412.758,1416.158,2.6123
1563148800000,1416.208,1418.158,1407.655,1415.398,31.1614
1563235200000,1415.395,1416.235,1400.758,1405.138,39.4458
1563321600000,1405.128,1430.085,1400.018,1424.578,50.0657
1563408000000,1424.615,1452.888,1414.578,1442.865,68.3987
1563494400000,1442.865,1445.228,1420.098,1425.168,53.9734
